Ano;Nível 1;Nível 2;Nível 3;Espinho;Gondomar;Maia;Matosinhos;Porto;Póvoa de Varzim;Valongo;Vila do Conde
2016;RESÍDUOS PUTRESCÍVEIS;;;36.83%;38.38%;40.08%;36.65%;37.02%;40.63%;38.%;39.92%
2016;Potencial de Valorizáveis;;;68.09%;71.62%;70.87%;70.72%;72.29%;69.73%;73.78%;71.71%
2016;;Resíduos Alimentares;;26.12%;26.1%;28.65%;22.52%;23.03%;26.66%;18.98%;24.27%
2016;;Resíduos de Jardim;;10.7%;12.28%;11.43%;14.13%;13.99%;13.96%;19.02%;15.66%
2016;;Outros;;.%;.%;.%;.%;.%;.%;.%;.%
2016;PAPEIS;;;8.01%;5.61%;6.91%;6.9%;7.3%;8.36%;9.23%;6.49%
2016;;Resíduos de Embalagens de Papel;;4.36%;3.01%;2.95%;3.79%;4.03%;5.6%;6.09%;3.46%
2016;;Jornais, revistas e folhetos;;3.63%;2.53%;3.86%;3.04%;3.23%;2.76%;2.61%;3.03%
2016;;Prospetos Publicitários;;.%;.%;.%;.%;.%;.%;.%;.%
2016;;Outros resíduos de papel e cartão;;.02%;.07%;.1%;.08%;.05%;.%;.53%;.%
2016;CARTOES;;;.%;.%;.%;.%;.%;.%;.%;.%
2016;;Resíduos de embalagens em filme de PE exceto sacos de plástico leves;;.%;.%;.%;.%;.%;.%;.%;.%
2016;;Sacos de plástico leves;;.%;.%;.%;.%;.%;.%;.%;.%
2016;COMPÓSITOS;;;5.56%;6.22%;4.87%;4.07%;5.01%;4.89%;5.37%;5.7%
2016;;ECAL;;1.11%;1.63%;1.25%;1.35%;1.58%;1.95%;1.52%;1.14%
2016;;Outras Embalagens Compósitas;;.42%;.49%;.47%;.37%;.54%;.2%;.16%;.49%
2016;;Pequenos Aparelhos Electrodomésticos;;.%;.12%;.19%;.08%;.16%;.08%;.21%;.32%
2016;;Outros Compósitos (não embalagem);;4.04%;3.99%;2.96%;2.28%;2.72%;2.67%;3.47%;3.75%
2016;TEXTEIS;;;6.24%;7.58%;6.26%;7.84%;6.7%;5.63%;6.34%;7.06%
2016;;Embalagens têxteis;;.58%;.04%;.01%;.05%;.06%;.11%;.05%;.01%
2016;;Outros Texteis;;5.65%;7.55%;6.25%;7.79%;6.64%;5.52%;6.29%;7.05%
2016;TEXTEIS SANITÁRIOS;;;8.99%;14.78%;13.49%;15.45%;13.76%;9.54%;11.15%;12.44%
2016;PLÁSTICOS;;;13.97%;12.48%;12.06%;12.6%;14.4%;13.31%;11.73%;12.55%
